DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	1791212
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	1791212
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	1791212
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	1791212
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	826
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	826
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	826
16-SEP-2006	2DAT1021	CIT-F	363277	19778	5401
16-SEP-2006	2DAT1021	CIT-F	363277	19778	5401
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT-F	363277	19778	101353
16-SEP-2006	2DAT1021	CIT-F	363277	19778	101353
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	9603
16-SEP-2006	2DAT1021	CIT-F	363277	19778	3690
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	11147
16-SEP-2006	2DAT1021	CIT-F	363277	19778	11147
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2373
16-SEP-2006	2DAT1021	K_SAK	367747	2905	44929
16-SEP-2006	2DAT1021	K_SAK	367747	2905	7222
16-SEP-2006	2DAT1021	HTM-F	367747	2905	670
16-SEP-2006	2DAT1021	CIT_K	367747	2905	2373
16-SEP-2006	2DAT1021	HTM-F	367747	2905	2687
16-SEP-2006	2DAT1021	HTM-F	367747	2905	8455
16-SEP-2006	2DAT1021	HTM-F	367747	2905	8455
16-SEP-2006	2DAT1021	S_B	367747	2905	973
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	915
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	695
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	808
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	808
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	808
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	808
16-SEP-2006	2DAT1021	HTM-F	363277	19778	9397
16-SEP-2006	2DAT1021	CIT-F	363277	19778	8180
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	4019
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	4019
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	4019
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	4019
16-SEP-2006	2DAT1021	HTM-F	363277	19778	4019
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	4019
16-SEP-2006	2DAT1021	CIT_K	363277	19778	4019
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	66516
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	149742
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	149742
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	149742
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	149742
16-SEP-2006	2DAT1021	HTM-F	363277	19778	149742
16-SEP-2006	2DAT1021	CIT_K	363277	19778	149742
16-SEP-2006	2DAT1021	CIT-F	363277	19778	20524
16-SEP-2006	2DAT1021	CIT-F	363277	19778	20524
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	498086
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	498086
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	498086
16-SEP-2006	2DAT1021	CIT-F	363277	19778	751
16-SEP-2006	2DAT1021	CIT-F	363277	19778	26099
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT-F	363277	19778	1855
16-SEP-2006	2DAT1021	CIT-F	363277	19778	1855
16-SEP-2006	2DAT1021	HTM-F	363277	19778	33295
16-SEP-2006	2DAT1021	CIT-F	363277	19778	33295
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	33181
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	719228
16-SEP-2006	2DAT1021	CIT-F	363277	19778	753
16-SEP-2006	2DAT1021	CIT-F	363277	19778	26099
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2614
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2614
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	64785
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	155467
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	601797
16-SEP-2006	2DAT1021	CIT-F	363277	19778	59392
16-SEP-2006	2DAT1021	CIT-F	363277	19778	26099
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
